Film Name,Description,Release Date,Director,IMDb Rating,,Websites,
I Saw the TV Glow,"A teenager's life is upended when a classmate introduces him to a mysterious late-night TV show. After its abrupt cancellation, the boundary between television and reality begins to blur.",2024,Jane Schoenbrun,6.5/10,,,
Under the silver lake,A disillusioned young man embarks on a surreal and mysterious quest to find a woman who has vanished from his apartment complex.,"April 19, 2019",David Robert Mitchell,6.5/10,,,
From Paris with Love,"A low-level CIA employee working in Paris teams up with a hot-headed, trigger-happy, and unpredictable senior agent to stop a terrorist attack in the city.",2010,Pierre Morel,6.4/10,,,
Magazine Dreams,Drama about an aspiring bodybuilder who pushes his body to the limit.,"March 21, 2025",Elijah Bynum,6.4/10,,,
The Sicilian,"Based on Mario Puzo's novel, the film follows Salvatore Giuliano, a charismatic bandit who, in post-WWII Sicily, dreams of liberating his homeland from Italian rule and making it an American state.",1987,Michael Cimino,6.2/10,,,
Man of Wrath,"An ex-cop with a violent past becomes a driver for an illegal import/export business, leading him into a dangerous criminal underworld. This is the South Korean title for the film ""Running Man"".",2016,Jo Dong-oh,6.2/10,,,
My Fault (Spanish version),(Culpa mía) Romance where a young woman falls for her wealthy new stepbrother.,"June 8, 2023",Domingo González,6.2/10,,,
Next,A Las Vegas magician who can see into the future is pursued by FBI agents seeking to use his abilities to prevent a nuclear terrorist attack.,"April 27, 2007",Lee Tamahori,6.1/10,,,
Automata,Sci-fi thriller about an insurance agent investigating robots violating their protocols.,"Oct 17, 2014",Gabe Ibáñez,6.0/10,,,
Chain Reaction,"Two researchers in a physics lab are framed for murder and treason after they discover a new form of clean, limitless energy, forcing them to go on the run from the FBI.",1996,Andrew Davis,5.8/10,,,
Gods of Egypt,"In ancient Egypt, a mortal hero, Bek, teams up with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne.",2016,Alex Proyas,5.4/10,,,
Viking,"A historical action film based on the medieval Primary Chronicle, depicting the story of Vladimir the Great, a young prince who must conquer his treacherous half-brothers to unite his people.",2016,Andrei Kravchuk,5.3/10,,,
Legion,Action horror where the Archangel Michael defends humanity against a legion of angels.,"Jan 22, 2010",Scott Stewart,5.3/10,,,
Full Metal Alchemist,Live-action adaptation of the manga about alchemist brothers searching for the Philosopher's Stone.,"Dec 1, 2017",Fumihiko Sori,5.3/10,,,
The Godfather,"An epic saga of power, loyalty, and crime, following the rise and fall of a mafia family in America.",1972,Francis Ford Coppola,9.2,,,
Schindler's List,"A powerful historical drama recounting the real-life efforts of Oskar Schindler to save Jews during the Holocaust, blending humanity and tragedy.",1993,Steven Spielberg,9,,,
The Dark Knight,"A dark, action-packed superhero film where Batman battles the Joker, delving into chaos, morality, and the psychological complexity of heroism.",2008,Christopher Nolan,9,,,
Pulp Fiction,"A non-linear, genre-defining crime film weaving together interconnected stories, full of dark humor, violence, and pop culture references.",1994,Quentin Tarantino,8.9,,,
Fight Club,"A psychological drama where an office worker forms an underground fight club, challenging societal norms, masculinity, and self-destruction.",1999,David Fincher,8.8,,,
Lord of the Rings,An epic fantasy saga following the journey of a hobbit and his companions to destroy a powerful ring and confront dark forces.,2001,Peter Jackson,8.8,,,
Inception,"A mind-bending thriller where a team of thieves enter dreams to plant ideas, exploring layers of consciousness and memory manipulation.",2010,Christopher Nolan,8.8,,,
Goodfellas,"A gritty, thrilling portrayal of life in the mafia, chronicling the rise and fall of a mobster in New York City.",1990,Martin Scorsese,8.7,,,
Casablanca,"A timeless romance set during World War II, where a nightclub owner must choose between love and duty.",1942,Michael Curtiz,8.5,,,
Cinema Paradiso,"A nostalgic ode to cinema, following a young boy’s friendship with a film projectionist and his lifelong love for movies.",1988,Giuseppe Tornatore,8.5,,,
The Venture Brothers,"An animated action-comedy following a dysfunctional family of superheroes on various misadventures, parodying comic book tropes.",2003,"Jackson Publick, Doc Hammer",8.5,,,
Whiplash,"A tense, intense drama about a young drummer’s obsession with achieving greatness, clashing with his ruthless music instructor’s demands.",2014,Damien Chazelle,8.5,,,
Parasite,"A darkly comedic thriller about a poor family scheming their way into the lives of a wealthy family, unraveling the stark divide between social classes.",2019,Bong Joon-ho,8.5,,,
Memento,"A mind-bending thriller told in reverse, following a man with short-term memory loss trying to find his wife’s killer.",2000,Christopher Nolan,8.4,,,
They Shall Not Grow Old,"A visually restored World War I documentary using real footage, giving a vivid and poignant portrayal of the soldiers’ experiences during the war.",2018,Peter Jackson,8.4,,,
Past Lives,"A tender romance spanning decades, following two childhood friends as they reconnect and reflect on how their lives diverged across continents and cultures.",2023,Celine Song,8.4,,,
A Separation,A powerful drama about the complexities of family and justice.,2011,Asghar Farhadi,8.3,,,
Children of Heaven,A touching story of a boy who loses his sister’s shoes.,1997,Majid Majidi,8.3,,,
Close-Up,"A masterful blend of fiction and reality, where a man impersonates a filmmaker, blurring the line between truth and performance.",1990,Abbas Kiarostami,8.2,,,
Unforgiven,"A revisionist Western where an aging gunslinger seeks redemption for his violent past, questioning morality and justice.",1992,Clint Eastwood,8.2,,,
The Truman Show,"A satirical drama about a man who discovers his entire life is a carefully constructed reality show, raising questions about free will and media control.",1998,Peter Weir,8.2,,,
The Wolf of Wall Street,"A high-octane biopic of Jordan Belfort, chronicling his rise and fall in the world of stock market corruption, excess, and debauchery.",2013,Martin Scorsese,8.2,,,
Winter Sleep,A slow-burn Turkish drama about a retired actor grappling with personal failures and societal tensions in a remote Anatolian hotel.,2014,Nuri Bilge Ceylan,8.2,,,
The Good Place,"A philosophical comedy where a woman mistakenly sent to the ""Good Place"" after death tries to hide her past, delving into moral philosophy and ethics.",2016,Michael Schur,8.2,,,
Green Book,A heartwarming yet complex road-trip film where a Black pianist and his white driver form an unlikely friendship during a tour through the 1960s American South.,2018,Peter Farrelly,8.2,,,
Gaia Human History Documentary,"A visually stunning environmental documentary exploring the deep history of human civilization and its impact on the planet, offering an eco-conscious perspective.",2023,Gaia,8.2,,,
Close-Up,A documentary-drama blending fiction and reality.,1990,Abbas Kiarostami,8.2,,,
The Color of Paradise,A blind boy’s relationship with his father and nature.,1999,Majid Majidi,8.2,,,
Persona,An intense psychological drama where identity and reality blur between an actress and her nurse.,1966,Ingmar Bergman,8.1,,,
Where Is the Friend's House?,"A poetic Iranian film about a young boy searching for his friend's house to return a notebook, reflecting human kindness and persistence.",1987,Abbas Kiarostami,8.1,,,
The Cow,A man’s descent into madness after his beloved cow disappears.,1969,Dariush Mehrjui,8.1,,,
Life of Brian,"A satire on religion and politics, following the life of a man born on the same day as Jesus, mistaken for the Messiah.",1979,Terry Jones,8,,,
Simulated Experience (Ghost in the Shell),"A cyberpunk anime exploring the nature of identity in a technologically advanced world, where artificial intelligence blurs the human experience.",1995,Mamoru Oshii,8,,,
Taste of Shirin,"A contemplative Iranian film that delves into the nuances of the female experience, blurring the line between fiction and reality through the perspective of women in society.",2008,Abbas Kiarostami,8,,,
Friday Night Dinner,A British comedy series centered around the eccentric family dynamics and chaotic dinners shared by two brothers and their parents.,2011,Robert Popper,8,,,
The Perks of Being a Wallflower,A coming-of-age story about an introverted teenager who finds friendship and love while confronting trauma and growing up.,2012,Stephen Chbosky,8,,,
Her,"A futuristic romance where a man falls in love with his operating system, exploring themes of artificial intelligence, loneliness, and connection.",2013,Spike Jonze,8,,,
La La Land,"A vibrant, bittersweet musical about two aspiring artists whose romantic relationship is tested by their divergent dreams and ambitions in Los Angeles.",2016,Damien Chazelle,8,,,
Bladerunner 2049,"A visually stunning sci-fi sequel where a blade runner uncovers a secret that could reshape the future, exploring identity, humanity, and artificial life.",2017,Denis Villeneuve,8,,,
L'Eclisse,"An exploration of alienation and emotional disconnection amidst modern life, as characters navigate their fractured relationships.",1962,Michelangelo Antonioni,7.9,,,
World on a Wire,"A sci-fi tale that questions reality and identity, set in a dystopian future where a virtual world may be manipulated.",1973,Rainer Werner Fassbinder,7.9,,,
The Song of Sparrows,A man’s simple life is transformed after a series of events.,2008,Majid Majidi,7.9,,,
The House is Black,A short documentary about a leper colony in Iran.,1963,Forough Farrokhzad,7.9,,,
About Elly,A mysterious disappearance during a group holiday in northern Iran.,2009,Asghar Farhadi,7.9,,,
L'Avventura,A mysterious journey through loss and alienation as a woman disappears during a Mediterranean island trip.,1960,Michelangelo Antonioni,7.8,,,
A Bronx Tale,"A coming-of-age crime drama set in 1960s New York, where a boy is torn between the values of his father and the allure of the mob.",1993,Robert De Niro,7.8,,,
Through the Olive Trees,"A meditative film about the complexities of love and filmmaking, following a director as he tries to capture authenticity amid life’s ambiguities.",1994,Abbas Kiarostami,7.8,,,
The Wind Will Carry Us,"A poetic Iranian film about a filmmaker visiting a rural village for a funeral, blending existential themes with everyday life’s rhythms.",1999,Abbas Kiarostami,7.8,,,
The Lunchbox,"A touching romantic drama set in Mumbai, where a mistaken lunchbox delivery sparks an epistolary relationship between two strangers.",2013,Ritesh Batra,7.8,,,
Manchester by the Sea,"A heart-wrenching drama about a man returning to his hometown after a family tragedy, forced to confront his painful past and the limits of redemption.",2016,Kenneth Lonergan,7.8,,,
A Hero,"An Iranian drama about a man who faces moral dilemmas after being temporarily released from prison, exploring themes of honor, deception, and society’s judgment.",2021,Asghar Farhadi,7.8,,,
The Salesman,A couple’s relationship unravels after a traumatic incident.,2016,Asghar Farhadi,7.8,,,
The Report,A politically charged Iranian film depicting the consequences faced by an idealistic man standing against corruption.,1977,Abbas Kiarostami,7.7,,,
Taste of Cherry,"A contemplative Iranian film about a man driving through the countryside, seeking someone to bury him after his planned suicide, exploring existential themes.",1997,Abbas Kiarostami,7.7,,,
Dark City,A mind-bending sci-fi noir where a man with amnesia navigates a city controlled by mysterious beings who can manipulate reality.,1998,Alex Proyas,7.7,,,
Waking Life,"An animated philosophical exploration of life, dreams, and consciousness, where a man drifts through a series of thought-provoking conversations.",2001,Richard Linklater,7.7,,,
The Machinist,"A dark psychological thriller where an insomniac factory worker suffers from hallucinations, unraveling a haunting mystery tied to his mental state.",2004,Brad Anderson,7.7,,,
Zodiac,"A tense thriller based on the real-life hunt for the Zodiac Killer, exploring obsession, mystery, and journalistic investigation.",2007,David Fincher,7.7,,,
Detachment,"A powerful drama about a disillusioned teacher navigating a broken educational system while trying to connect with students, exposing personal and societal wounds.",2011,Tony Kaye,7.7,,,
The Great Beauty,"A visually stunning meditation on life’s beauty and emptiness, centered on an aging writer reflecting on his life in Rome’s elite circles.",2013,Paolo Sorrentino,7.7,,,
Birdman,"A darkly comedic exploration of a washed-up actor’s mental breakdown as he attempts a Broadway comeback, blurring lines between reality and fantasy.",2014,Alejandro González Iñárritu,7.7,,,
54 Hours: Gladbeck Hostage,"A tense, real-life hostage drama recounting the infamous 1988 Gladbeck hostage crisis in Germany, portraying the terror and media frenzy surrounding the event.",2018,Kilian Riedhof,7.7,,,
Aftersun,"A contemplative drama about a father and daughter on a holiday, reflecting on their bond and the memories of childhood as the daughter grows older.",2022,Charlotte Wells,7.7,,,
Poor Things,"A darkly comedic and visually whimsical film where a young woman, brought back to life by a scientist, navigates a strange and chaotic world, exploring identity and autonomy.",2023,Yorgos Lanthimos,7.7,,,
Taste of Cherry,"A man drives through Tehran, searching for someone to bury him.",1997,Abbas Kiarostami,7.7,,,
Sabrina,A charming story of a chauffeur's daughter who transforms and captures the attention of two wealthy brothers.,1954,Billy Wilder,7.6,,,
The Traveler,An Iranian neorealist film about a young boy’s journey and observations of life's hardships and human nature.,1974,Abbas Kiarostami,7.6,,,
"Life, and Nothing More...","A reflective film set in post-earthquake Iran, as a man searches for two young boys, meditating on life’s fragility and resilience.",1992,Abbas Kiarostami,7.6,,,
A Heart in Winter,"A French romantic drama about a violin maker’s unspoken love for his friend’s lover, exploring themes of emotional restraint and passion.",1992,Claude Sautet,7.6,,,
Lost Highway,"A dark, surreal journey through fragmented reality, as a man is caught between different dimensions and psychological distortions.",1997,David Lynch,7.6,,,
Lord of War,A crime drama about an arms dealer's rise and moral struggles in the global trade of illegal weapons.,2005,Andrew Niccol,7.6,,,
"Synecdoche, New York","A surreal, existential drama where a theater director’s life unravels as he builds a life-size replica of New York City, exploring mortality and identity.",2008,Charlie Kaufman,7.6,,,
The Social Dilemma,"A documentary examining the dangerous impact of social media on society, particularly its effects on mental health, democracy, and individual autonomy.",2020,Jeff Orlowski,7.6,,,
DOSED (Documentary),"A documentary about the healing potential of psychedelics in treating addiction, anxiety, and mental health issues, blending personal stories and scientific research.",2023,Tyler Chandler,7.6,,,
The Wind Will Carry Us,A filmmaker journeys to a remote village for a burial.,1999,Abbas Kiarostami,7.6,,,
Eyes Wide Shut,"A mysterious psychological thriller where a man delves into a secret society, exploring themes of sexuality, power, and marital discord.",1999,Stanley Kubrick,7.5,,,
The Holdovers,"A bittersweet comedy-drama about a strict boarding school teacher left in charge of students during the holidays, forming unexpected connections with them.",2023,Alexander Payne,7.5,,,
This is Not a Film,A filmmaker documents his life under house arrest.,2011,Jafar Panahi,7.5,,,
La Collectionneuse,A contemplative French New Wave film about relationships and a young woman’s detachment as she moves between lovers.,1967,Éric Rohmer,7.4,,,
A Wedding Suit,"A poignant tale of class and ambition as three boys save money to rent a suit for a special occasion, only to face life's challenges.",1976,Abbas Kiarostami,7.4,,,
Marathon Man,A tense thriller about a student drawn into a web of conspiracy and danger as he uncovers dark secrets behind his family’s past.,1976,John Schlesinger,7.4,,,
The White Balloon,A young girl embarks on a quest to buy a goldfish.,1995,Jafar Panahi,7.4,,,
The Circle,A critique of the oppression of women in Iranian society.,2000,Jafar Panahi,7.4,,,
Ten,"A woman drives around Tehran, conversing with different passengers.",2002,Abbas Kiarostami,7.4,,,
Gheysar ,"A gritty Iranian revenge story where a man seeks justice for the murder of his brother, set against moral and social tensions.",1969,Masoud Kimiai,7.3,,,
ABC Africa,"A documentary following filmmakers as they explore Uganda’s AIDS epidemic, highlighting the struggles and resilience of families.",2001,Abbas Kiarostami,7.3,,,
Ten,"An Iranian film where a female taxi driver converses with her passengers, discussing gender roles, identity, and personal freedom.",2002,Abbas Kiarostami,7.3,,,
Five,"A minimalist Iranian film composed of five long takes, observing the quiet beauty and rhythms of nature and human life.",2003,Abbas Kiarostami,7.3,,,
Certified Copy,"A philosophical romance where an Englishman and a Frenchwoman debate love and authenticity while traveling through Tuscany, blurring reality and fiction.",2010,Abbas Kiarostami,7.3,,,
Ultron,"A sci-fi action film where the Avengers battle the rogue AI Ultron, delving into themes of technology, destruction, and heroism.",2015,Joss Whedon,7.3,,,
Youth,"A visually rich meditation on aging and memory, where two old friends, a composer and a filmmaker, reflect on their lives during a stay at a luxury hotel.",2015,Paolo Sorrentino,7.3,,,
Taxi,A candid glimpse into the lives of Tehran’s citizens from a taxi.,2015,Jafar Panahi,7.3,,,
Crimson Gold,A pizza delivery man is driven to despair by social inequality.,2003,Jafar Panahi,7.3,,,
Offside,Girls in Iran attempt to attend a soccer match disguised as boys.,2006,Jafar Panahi,7.3,,,
They Live,"A sci-fi horror film where a man discovers sunglasses that reveal a hidden reality controlled by aliens, critiquing consumerism and authority.",1988,John Carpenter,7.2,,,
Kingdom of Heaven,"A historical epic set during the Crusades, following a young knight who rises to defend Jerusalem, grappling with faith and leadership.",2005,Ridley Scott,7.2,,,
Half Nelson,A powerful drama about a middle school teacher struggling with addiction while forming a bond with one of his students.,2006,Ryan Fleck,7.2,,,
Kaili Blues,"A poetic, dreamlike film from China, blending time and memory as a doctor searches for his missing brother, reflecting on loss and destiny.",2015,Bi Gan,7.2,,,
Shirin,"An experimental Iranian film that focuses entirely on women watching a film, with their reactions revealing complex emotions and untold stories.",2008,Abbas Kiarostami,7.1,,,
Little Lies,A psychological thriller where a woman’s seemingly perfect life begins to unravel as hidden truths and deceptions come to light.,2019,Jean-Paul Civeyrac,7.1,,,
Free Guy,A lighthearted action-comedy where a video game NPC gains self-awareness and decides to break free from his programmed life to become a hero.,2021,Shawn Levy,7.1,,,
The Greatest Reset,"A conspiracy-laden documentary examining global political and societal shifts, discussing the need for fundamental change in the world order.",2022,Pierre Corbin,7.1,,,
Like Someone in Love,"A quiet, contemplative film about a young Japanese escort and her relationship with an elderly man, exploring loneliness and unexpected intimacy.",2012,Abbas Kiarostami,7,,,
Darwish: A Soldier Dreams of White Lilies,"A poetic film about the thoughts and dreams of a Palestinian soldier, reflecting on life, loss, and the longing for peace and beauty amidst conflict.",2014,Subhi Hadidi,7,,,
The Apple,Two sisters experience freedom for the first time after being confined.,1998,Samira Makhmalbaf,7,,,
The Deserted Station,A photographer and his wife are stranded in a remote village.,2002,Alireza Raisian,7,,,
Atlantis: The Lost Empire,A Disney animated adventure about a young explorer and his team on a journey to discover the legendary lost city of Atlantis.,2001,"Gary Trousdale, Kirk Wise",6.9,,,
Enemy,"A surreal psychological thriller where a man encounters his exact double, unraveling his perception of reality and identity.",2013,Denis Villeneuve,6.9,,,
A Ghost Story,"A meditative, haunting tale about love, loss, and time, where a ghost observes the passage of time and the lives of those he left behind.",2017,David Lowery,6.9,,,
At Eternity's Gate,"A deeply emotional biopic about Vincent van Gogh’s later years, capturing his artistic genius, mental struggles, and spiritual connection to the world around him.",2018,Julian Schnabel,6.9,,,
Under the Shadow,A supernatural horror film set during the Iran-Iraq war.,2016,Babak Anvari,6.9,,,
Homework,"A documentary-style look at Iranian schoolchildren and the pressures they face during their education, exposing societal expectations.",1989,Abbas Kiarostami,6.8,,,
Demolition Man,"A satirical sci-fi action film set in a dystopian future where a cryogenically frozen cop must stop a crime lord, blending action and humor.",1993,Marco Brambilla,6.7,,,
Don Juan DeMarco,"A whimsical romance where a young psychiatrist helps a patient who believes he is the legendary lover Don Juan, exploring fantasy and reality.",1994,Jeremy Leven,6.7,,,
The Good Shepherd,"A spy drama about the early years of the CIA, focusing on the personal costs of espionage and moral ambiguity in the Cold War era.",2006,Robert De Niro,6.7,,,
Loro,"A satirical drama following Italy’s media mogul Silvio Berlusconi as he navigates power, decadence, and political intrigue in the midst of a lavish lifestyle.",2018,Paolo Sorrentino,6.7,,,
24 Frames,"A unique cinematic experience where the director uses still frames to explore the relationship between art and time, offering a meditation on life’s fleeting moments.",2017,Abbas Kiarostami,6.6,,,
First Graders,"A touching Iranian documentary exploring the first day of school for children, capturing their innocence and anxieties.",1984,Abbas Kiarostami,6.5,,,
The Hero,"A reflective drama about an aging Western movie star grappling with his fading fame, mortality, and finding meaning in the last chapter of his life.",2017,Brett Haley,6.5,,,
White Boy Rick,A crime drama based on the true story of a teenage boy who becomes an FBI informant while getting involved in Detroit’s drug trade in the 1980s.,2018,Yann Demange,6.5,,,
He's Just Not That Into You,A romantic comedy following several interconnected characters as they navigate the confusing world of relationships and modern dating.,2009,Ken Kwapis,6.4,,,
James Bond: Die Another Day,"A high-octane James Bond film where the spy uncovers a North Korean plot involving a deadly space weapon, featuring thrilling action and gadgets.",2002,Lee Tamahori,6.1,,,
Sunrise in Heaven,"A heartwarming romance about a young woman’s relationship with an airman, tested by life-changing events.",2019,Waymon Boone,6.1,,,
Mr. Deeds,"A light-hearted comedy where a small-town man inherits a fortune and brings his simple ways to New York City, shaking things up.",2002,Steven Brill,5.8,,,
What the Bleep Do We Know? (Documentary),"A documentary that blends science, spirituality, and philosophy, exploring the nature of reality and human perception through quantum physics.",2004,"William Arntz, Betsy Chasse, Mark Vicente",5.5,,,
El Cantante,"A musical biopic chronicling the life and career of Hector Lavoe, the Puerto Rican salsa singer, highlighting his rise to fame and personal struggles.",2006,Leon Ichaso,5.5,,,
Rock the Kasbah,"A comedic adventure about a washed-up music manager who finds a talented Afghan singer and helps her rise to fame, set against a chaotic political backdrop.",2015,Barry Levinson,5.5,,,